symbol,company_name
AAPL,Apple Inc. Common Stock
MSFT,Microsoft Corporation Common Stock
NVDA,NVIDIA Corporation Common Stock
AMZN,"Amazon.com, Inc. Common Stock"
GOOGL,Alphabet Inc. Class A Common Stock
META,"Meta Platforms, Inc. Class A Common Stock"
TSLA,"Tesla, Inc. Common Stock"
NFLX,"Netflix, Inc. Common Stock"
ADBE,Adobe Inc. Common Stock
CRM,"Salesforce, Inc."
ORCL,Oracle Corp
IBM,International Business Machines Corporation
INTU,Intuit Inc. Common Stock
NOW,"SERVICENOW, INC."
CSCO,"Cisco Systems, Inc. Common Stock (DE)"
AMD,"Advanced Micro Devices, Inc. Common Stock"
INTC,Intel Corporation Common Stock
AVGO,Broadcom Inc. Common Stock
QCOM,QUALCOMM Incorporated Common Stock
TXN,Texas Instruments Incorporated Common Stock
MU,"Micron Technology, Inc. Common Stock"
LRCX,Lam Research Corporation Common Stock
AMAT,"Applied Materials, Inc. Common Stock"
KLAC,KLA Corporation Common Stock
MCHP,Microchip Technology Incorporated Common Stock
NXPI,NXP Semiconductors N.V. Common Stock
MPWR,"Monolithic Power Systems, Inc. Common Stock"
SWKS,"Skyworks Solutions, Inc. Common Stock"
QRVO,"Qorvo, Inc. Common Stock"
TER,"Teradyne, Inc. Common Stock"
ON,ON Semiconductor Corporation Common Stock
ANET,Arista Networks
CIEN,Ciena Corporation
JNPR,Juniper Networks Inc
DELL,Dell Technologies Inc.
HPQ,HP Inc.
NTAP,"NetApp, Inc. Common Stock"
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland)
WDC,Western Digital Corporation Common Stock
SNOW,Snowflake Inc.
PLTR,Palantir Technologies Inc. Class A Common Stock
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock"
ZS,"Zscaler, Inc. Common Stock"
OKTA,"Okta, Inc. Class A Common Stock"
DDOG,"Datadog, Inc. Class A Common Stock"
NET,"Cloudflare, Inc. Class A common stock, par value $0.001 per share"
MDB,"MongoDB, Inc. Class A Common Stock"
HUBS,"HUBSPOT, INC."
SHOP,Shopify Inc. Class A subordinate voting shares
TEAM,Atlassian Corporation Class A Common Stock
WDAY,"Workday, Inc. Class A Common Stock"
VEEV,Veeva Systems Inc.
DOCU,"DocuSign, Inc. Common Stock"
TWLO,Twilio Inc.
SPLK,Splunk Inc. Common Stock
ESTC,Elastic N.V.
FSLY,"Fastly, Inc. Class A Common Stock"
U,Unity Software Inc.
PATH,"UiPath, Inc."
APP,Applovin Corporation Class A Common Stock
PCOR,"Procore Technologies, Inc."
CFLT,"Confluent, Inc. Class A Common Stock"
PANW,"Palo Alto Networks, Inc. Common Stock"
FTNT,"Fortinet, Inc. Common Stock"
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock"
ZS,"Zscaler, Inc. Common Stock"
OKTA,"Okta, Inc. Class A Common Stock"
UBER,"Uber Technologies, Inc."
ABNB,"Airbnb, Inc. Class A Common Stock"
DASH,"DoorDash, Inc. Class A Common Stock"
ROKU,"Roku, Inc. Class A Common Stock"
SPOT,Spotify Technology S.A.
PYPL,"PayPal Holdings, Inc. Common Stock"
ETSY,"Etsy, Inc."
AFRM,"Affirm Holdings, Inc. Class A Common Stock"
COIN,"Coinbase Global, Inc. Class A Common Stock"
HOOD,"Robinhood Markets, Inc. Class A Common Stock"
SNPS,"Synopsys, Inc. Common Stock"
CDNS,"Cadence Design Systems, Inc. Common Stock"
AKAM,"Akamai Technologies, Inc. Common Stock"
EA,Electronic Arts Inc. Common Stock
TTWO,"Take-Two Interactive Software, Inc. Common Stock"
RBLX,Roblox Corporation
AI,"C3.ai, Inc."
BILL,"BILL Holdings, Inc."
GTLB,GitLab Inc. Class A Common Stock
MNDY,monday.com Ltd. Ordinary Shares
S,"SentinelOne, Inc."
NEWR,"New Relic, Inc."
SMAR,Smartsheet Inc.
ASAN,"Asana, Inc. Class A Common Stock"
ZM,"Zoom Communications, Inc. Class A Common Stock"
DOCN,"DigitalOcean Holdings, Inc."
PINS,"Pinterest, Inc. Class A Common Stock"
TWTR,"Twitter, Inc."
LYFT,"Lyft, Inc. Class A Common Stock"
IOT,Samsara Inc.
CRNC,Cerence Inc. Common Stock
VRNS,"Varonis Systems, Inc. Common Stock"
